diff filename,apk name,rhsb,ehsb,rhdsb,ehdsb,sign,Tr,Te
002C7672692000C30B38489402135948EA3D9DED79EF36339E756ACDA8B02BCA,com.BdStore.KosteVoraValobasa,"['Landroid/location/LocationManager;->getLastKnownLocation(Ljava/lang/String;)Landroid/location/Location;', 'Landroid/location/Location;->getLongitude()D']",,,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 False,C:cond_0 True
0455B2C8FAAC5EDE778C998EDB8E909E3542D8711699C4FCEA473EF327F96DCB,org.project.pycalculator,,,,,La/b/k/r;->c(I)Z : C:cond_1 False,C:cond_0 False,C:cond_0 True
0A169F4D69B8038ACE6182B4FC459D4F6F9718FB979359DEC861CE94D4E47F11,com.preciousapp.tshirt.android.app,,,,,Lcom/appsflyer/internal/y;->AFKeystoreWrapper(Landroid/content/Context;)Lcom/appsflyer/internal/y$d; : TS:try_start_3 ,C:cond_0 False,C:cond_0 True
1645F505C8528E777EE05B8AE687D849E03A1187AB5CA3D49B840B1F5C9B2C9F,mtw.app.vtu,,,,,Lc/c/b/a/b/b/j;->a(I)Z : C:cond_1 False,C:cond_0 False,C:cond_0 True
1E7BFC3E878D48531B8A5F82C80958BF81945EDB8CCCDC5BFBB40E63E18FD101,in.firm.stepsindia.orchardmart,,['Ljava/io/File;-><init>(Ljava/io/File;Ljava/lang/String;)V'],,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 True,C:cond_0 False
234F17850AFDFE3BF57CB44EF950346CEEAEB83B824FD7CD82AF4BCA80E6591C,io.Moonstargame.sanliturktarihi3,['Landroid/telephony/TelephonyManager;->getLine1Number()Ljava/lang/String;'],,,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 False,C:cond_0 True
28EECB29B5BE403FC650AFD26CCBFE67A8EAC5F692B24AA8BA6F0CD548D4D7AE,com.zibtek.on_course,,,,,La/b/g;->a(Ljava/lang/Object;)I : C:cond_1 True,C:cond_3 False,C:cond_2 False
2D6947F82FCD7B92F4F5D92E6E6C408008C5FF033FB7AD6F3544F03F8220278B,dev.hasni.srsinstaller,,['Ljava/lang/System;->exit(I)V'],,,Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V : Llu/uni/trux/TriggerClass;->TriggerMethod(Landroid/app/Activity;)V,C:cond_0 True,C:cond_0 False
426C849D2F456F6D8B0EA4F24E62F6F4B260A49A900ED8F7D11897321DC5EF84,com.koreanfoodcourt.deliveryboy,,,,,La/b/e;->a(Ljava/lang/Object;I)I : C:cond_1 True,C:cond_2 True,C:cond_2 False
4C2AFD319BD46B634B8E42CD4EAF6D0CFC24EAEA53A23B2CF220D58ECE6DFD16,com.github.axet.hourlyreminder,,,,,Lcom/github/axet/hourlyreminder/alarms/ReminderSet;->format(Landroid/content/Context;Ljava/util/Set;)Ljava/lang/String; : C:cond_15 False,C:cond_13 False,C:cond_13 True
